Campaign,Type,Spend,RevenueImpact,ROI_Percent,NewConsumers,AcquisitionCost
Banana Recipe Contest,Social Media,26278,121617,362.8,4844,5.42
Summer Smoothie Campaign,Seasonal,36616,139804,281.8,6292,5.82
Banana Health Benefits,Health Education,48668,156518,221.6,5554,8.76
Local Farm Tours,Agritourism,19159,55486,189.6,2617,7.32
Exotic Varieties Promotion,Product Awareness,49104,133138,171.1,6634,7.4
Cooking Show Partnership,Media Partnership,59727,161315,170.1,5481,10.9
Banana Festival Sponsorship,Event,69918,175036,150.3,7488,9.34
School Nutrition Program,Educational,33245,82023,146.7,2867,11.6
Sustainable Farming Showcase,Sustainability,56746,109514,93.0,4530,12.53
Sports Team Sponsorship,Sports Marketing,84930,158944,87.1,6842,12.41
Eco-Friendly Packaging Launch,Product Innovation,66734,103661,55.3,4116,16.21
